CODETX,risk_rank,risk_score,latest_H2,latest_C2H2,c2h2_max,latest_TCG,rate_H2,n_samples,fault_note
BLGKT1A,1,27.06,10.0,8.0,115.0,116.0,-40.43,7,False
BLGKT2A,2,25.2,9.0,29.0,125.0,691.0,-36.87,7,False
NP-PKT1A,3,23.24,56.0,17.0,17.0,514.0,22.31,8,False
TTKKT3AC,4,13.96,36.0,2.0,5.0,1324.0,11.53,20,True
CTKT4A,5,11.72,40.0,0.0,43.0,495.0,2.07,11,False
PHGKT1A,6,10.54,17.0,0.0,954.0,733.0,6.45,11,True
LEKT1A,7,9.8,23.0,0.0,586.0,569.0,6.53,10,True
PDGKT1AB,8,8.56,1.0,0.0,612.0,34.0,6.59,10,True
SBKT3A,9,7.25,108.0,0.0,3.0,1024.0,33.76,11,True
SR2KT1A,10,6.98,21.0,0.0,893.0,380.0,-10.97,10,False
KB2KT1A,11,6.53,19.0,0.0,60.0,625.0,5.09,12,True
WNKKT1A,12,6.45,128.0,0.0,0.0,1177.0,71.12,6,False
